FID,ID,kabko,lat,long,tanggal_ms,tanggal_iso,hari,populasi,otg,odp_aktif,pdp_aktif,pos_aktif,pos_rs,pos_meninggal,pos_sembuh,pos_total
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1589673600000,2020-05-17,58,1268504,315,29,10,20,18,1,2,23
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1591574400000,2020-06-08,80,1163789,247,44,5,1,0,3,6,10
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1591660800000,2020-06-09,81,1163789,247,45,5,1,0,3,6,10
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1591747200000,2020-06-10,82,1163789,247,48,5,1,0,3,6,10
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1591833600000,2020-06-11,83,1163789,247,48,4,0,0,3,7,10
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1591920000000,2020-06-12,84,1163789,247,46,4,1,1,3,7,11
6,6,KAB. GRESIK,-6.86732310199931,112.58723103428937,1586563200000,2020-04-11,22,1326420,118,794,52,8,8,1,1,10
6,6,KAB. GRESIK,-6.86732310199931,112.58723103428937,1586649600000,2020-04-12,23,1326420,132,800,51,12,12,1,1,14
6,6,KAB. GRESIK,-6.86732310199931,112.58723103428937,1586736000000,2020-04-13,24,1326420,137,736,49,14,14,1,2,17
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1589760000000,2020-05-18,59,1268504,316,30,10,21,19,1,2,24
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1589846400000,2020-05-19,60,1268504,320,26,13,22,20,1,2,25
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1589932800000,2020-05-20,61,1268504,326,26,13,24,21,1,2,27
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590019200000,2020-05-21,62,1268504,332,23,13,24,21,1,2,27
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590105600000,2020-05-22,63,1268504,332,23,13,25,21,1,2,28
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590192000000,2020-05-23,64,1268504,335,24,14,30,21,1,4,35
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590278400000,2020-05-24,65,1268504,359,21,14,30,22,1,4,35
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1589500800000,2020-05-15,56,1252020,366,32,7,22,14,5,0,27
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1589587200000,2020-05-16,57,1252020,365,29,10,23,15,5,0,28
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1589673600000,2020-05-17,58,1252020,365,28,9,23,15,5,0,28
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1589760000000,2020-05-18,59,1252020,365,30,7,30,17,5,0,35
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1589846400000,2020-05-19,60,1252020,364,28,7,30,18,5,2,37
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1589932800000,2020-05-20,61,1252020,364,28,7,30,18,5,2,37
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590019200000,2020-05-21,62,1252020,364,29,6,32,20,5,2,39
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590105600000,2020-05-22,63,1252020,364,29,6,32,20,5,2,39
18,18,KAB. LAMONGAN,-7.133763623538353,112.29995716806015,1584662400000,2020-03-20,0,1189380,0,0,0,0,0,0,0,0
18,18,KAB. LAMONGAN,-7.133763623538353,112.29995716806015,1584748800000,2020-03-21,1,1189380,0,0,0,0,0,0,0,0
18,18,KAB. LAMONGAN,-7.133763623538353,112.29995716806015,1584835200000,2020-03-22,2,1189380,0,0,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590192000000,2020-05-23,64,1252020,364,29,7,34,22,6,2,42
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590278400000,2020-05-24,65,1252020,364,31,5,34,22,7,2,43
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590364800000,2020-05-25,66,1252020,361,28,7,40,28,7,2,49
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590451200000,2020-05-26,67,1252020,361,29,7,40,25,7,2,49
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590537600000,2020-05-27,68,1252020,361,30,8,40,25,8,2,50
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590624000000,2020-05-28,69,1252020,361,29,9,40,25,9,2,51
6,6,KAB. GRESIK,-6.86732310199931,112.58723103428937,1586822400000,2020-04-14,25,1326420,139,697,49,15,15,1,2,18
